class,cycles
fixed,43896924
fixed,44505092
fixed,44285228
fixed,43507434
fixed,44293662
fixed,43399302
fixed,43323264
fixed,43623968
fixed,44471028
fixed,43825206
fixed,44621634
fixed,44242590
fixed,47319894
fixed,44240482
fixed,43380230
fixed,44813154
fixed,44912734
fixed,44405566
fixed,43874094
fixed,44644650
fixed,43498290
fixed,45312756
fixed,44675842
fixed,44968738
fixed,44858168
fixed,44587376
fixed,44263542
fixed,50453898
fixed,44477238
fixed,44421376
fixed,44369364
fixed,44831684
fixed,62973972
fixed,46208718
fixed,44820666
fixed,83229312
fixed,43421182
fixed,43511686
fixed,43454176
fixed,43306000
fixed,44534688
fixed,44328382
fixed,44359126
fixed,44478912
fixed,43846860
fixed,44266458
fixed,43848804
fixed,44420502
fixed,44546924
fixed,44249110
fixed,44282088
fixed,44212238
fixed,45730452
fixed,44205154
fixed,44146890
fixed,43706714
fixed,43472390
fixed,44257980
fixed,44475520
fixed,44354406
fixed,44477004
fixed,44297308
fixed,44625456
fixed,44472974
fixed,43221402
fixed,43909634
fixed,43941362
fixed,44187394
fixed,43880624
fixed,44551598
fixed,43633272
fixed,44061728
fixed,43934898
fixed,43711516
fixed,43985984
fixed,44167262
fixed,43903300
fixed,43748376
fixed,44403744
fixed,43253136
fixed,44488486
fixed,43732472
fixed,43617204
fixed,43932678
fixed,43562190
fixed,44136740
fixed,44542378
fixed,43943166
fixed,44538238
fixed,44408802
fixed,43984048
fixed,44597028
fixed,43907516
fixed,44310120
fixed,43708018
fixed,44035680
fixed,43542892
fixed,44293870
fixed,44133208
fixed,44095106
fixed,43126208
fixed,43954292
fixed,43660472
fixed,44134990
fixed,43268108
fixed,43545206
fixed,43812670
fixed,43950664
fixed,43761740
fixed,44258600
fixed,44118464
fixed,44152036
fixed,43712978
fixed,44476086
fixed,45965630
fixed,43923594
fixed,44482474
fixed,44450128
fixed,44318160
fixed,43799376
fixed,43931780
fixed,43511584
fixed,44398144
fixed,44151528
fixed,44259242
fixed,43917480
fixed,43486436
fixed,43838552
fixed,44254160
fixed,43582144
fixed,45994622
fixed,43610976
fixed,44455566
fixed,44464794
fixed,43232686
fixed,44309538
fixed,43881352
fixed,43941558
fixed,43406370
fixed,44356452
fixed,43552230
fixed,43947256
fixed,43796006
fixed,43513680
fixed,44007196
fixed,43687416
fixed,44145636
fixed,44203606
fixed,43973300
fixed,43543850
fixed,42991438
fixed,43820180
fixed,44227084
fixed,43581360
fixed,44321238
fixed,44294712
fixed,44298762
fixed,44003072
fixed,44261974
fixed,44226228
fixed,44496486
fixed,43441272
fixed,44320866
fixed,43690636
fixed,43373102
fixed,44243956
fixed,44463348
fixed,43607066
fixed,44449514
fixed,44030992
fixed,44218996
fixed,44568254
fixed,44825952
fixed,44237694
fixed,44740034
fixed,43947478
fixed,44647988
fixed,43810840
fixed,44333202
fixed,44706364
fixed,44542188
fixed,43572990
fixed,43139750
fixed,47105614
fixed,44950886
fixed,44295092
fixed,44535744
fixed,45354284
fixed,44623060
fixed,44461902
fixed,45043244
fixed,44555172
fixed,44390244
fixed,44012748
fixed,44074334
fixed,44613744
fixed,44418750
fixed,44374566
fixed,44691544
fixed,44037778
fixed,44990352
fixed,44794860
fixed,45081386
fixed,44610138
fixed,44739668
fixed,44645408
fixed,44614972
fixed,44474296
fixed,44169578
fixed,43825868
fixed,44153660
fixed,45483588
fixed,44920038
fixed,44985660
fixed,45624598
fixed,45338110
fixed,45224782
fixed,47620042
fixed,46015856
fixed,44088654
fixed,44509694
fixed,44376900
fixed,44396930
fixed,44883056
fixed,44504980
fixed,44258740
fixed,44453292
fixed,44335368
fixed,44335672
fixed,44159460
fixed,49449474
fixed,44656876
fixed,44765228
fixed,45421406
fixed,45808078
fixed,45433066
fixed,45428228
fixed,45189528
fixed,44961004
fixed,45083590
fixed,45209090
fixed,45363314
fixed,46131262
fixed,44553494
fixed,44306400
fixed,44391544
fixed,45022776
fixed,45220610
