class,cycles
fixed,54346534
fixed,52997092
fixed,52829272
fixed,53262584
fixed,53287492
fixed,52893112
fixed,52782356
fixed,53040130
fixed,52779950
fixed,53099930
fixed,52955516
fixed,52698328
fixed,54671218
fixed,52968630
fixed,52964800
fixed,52815010
fixed,52990550
fixed,51486050
fixed,53186000
fixed,52978954
fixed,52663688
fixed,52933408
fixed,52660058
fixed,52727940
fixed,53073452
fixed,52919920
fixed,52262164
fixed,53011228
fixed,52820218
fixed,52808868
fixed,53097192
fixed,52921042
fixed,53998498
fixed,52041770
fixed,52822966
fixed,52593172
fixed,52861766
fixed,52714402
fixed,52573812
fixed,52121710
fixed,52730222
fixed,52423876
fixed,52252534
fixed,52925050
fixed,51523264
fixed,51782248
fixed,52611474
fixed,51997762
fixed,53042890
fixed,53654198
fixed,52795428
fixed,51953414
fixed,51582652
fixed,51403406
fixed,52313754
fixed,51966486
fixed,52590768
fixed,53060352
fixed,52945528
fixed,52446476
fixed,52639868
fixed,53138486
fixed,51473144
fixed,52138170
fixed,51842546
fixed,52152046
fixed,51833680
fixed,52555970
fixed,52507714
fixed,52139406
fixed,52174350
fixed,52601140
fixed,54737188
fixed,53382568
fixed,52951912
fixed,52534730
fixed,52591708
fixed,52909440
fixed,53065106
fixed,52950720
fixed,52702372
fixed,52682978
fixed,52199152
fixed,52679470
fixed,52977024
fixed,52625228
fixed,54530820
fixed,53073450
fixed,52741534
fixed,52488920
fixed,52620092
fixed,52665486
fixed,52681800
fixed,53020982
fixed,52466496
fixed,52604274
fixed,52620950
fixed,52224712
fixed,52535826
fixed,52305408
fixed,52056110
fixed,52221968
fixed,53068806
fixed,52852450
fixed,53099226
fixed,52531368
fixed,52437272
fixed,54665750
fixed,51764002
fixed,52210982
fixed,52389918
fixed,51170468
fixed,52527652
fixed,52350678
fixed,52959382
fixed,53043796
fixed,52676246
fixed,52680654
fixed,52661428
fixed,54963554
fixed,52711282
fixed,52705960
fixed,52594938
fixed,52321942
fixed,52264640
fixed,52926482
fixed,52546574
fixed,52076822
fixed,52364378
fixed,54164722
fixed,55243968
fixed,52397162
fixed,52092918
fixed,53182510
fixed,52373918
fixed,52352190
fixed,52997338
fixed,52831044
fixed,53258702
fixed,52524154
