phase,group,index,time_ms,cycles
keygen,KG_fixed_randomness,0,12.265421,25915142
keygen,KG_real_randomness,0,11.652368,24611426
keygen,KG_real_randomness,1,12.539347,26484224
keygen,KG_real_randomness,2,12.147814,25656526
keygen,KG_fixed_randomness,1,13.551905,28622946
keygen,KG_real_randomness,3,16.343595,34518276
keygen,KG_fixed_randomness,2,16.412340,34663674
keygen,KG_fixed_randomness,3,17.790824,37574998
keygen,KG_fixed_randomness,4,16.780812,35441616
keygen,KG_fixed_randomness,5,16.463108,34771160
keygen,KG_fixed_randomness,6,16.677518,35224576
keygen,KG_real_randomness,4,23.827707,50324622
keygen,KG_real_randomness,5,30.931112,65327166
keygen,KG_fixed_randomness,7,18.698191,39491330
keygen,KG_real_randomness,6,15.436798,32605056
keygen,KG_fixed_randomness,8,16.945578,35789460
keygen,KG_real_randomness,7,17.481883,36922400
keygen,KG_real_randomness,8,16.274254,34371708
keygen,KG_real_randomness,9,16.382270,34600068
keygen,KG_fixed_randomness,9,13.121678,27714110
keygen,C_freshKey_randomInput,0,18.441334,38950408
encaps,C_freshKey_randomInput,0,32.488594,68616378
decaps,C_freshKey_randomInput,0,49.647491,104856026
encaps,G0_fixedKey_fixedInput,0,35.063517,74054864
decaps,G0_fixedKey_fixedInput,0,46.065808,97291484
keygen,B_freshKey_fixedInput,0,13.573901,28668464
encaps,B_freshKey_fixedInput,0,27.385470,57838502
decaps,B_freshKey_fixedInput,0,41.901119,88495704
keygen,C_freshKey_randomInput,1,13.169130,27813714
encaps,C_freshKey_randomInput,1,24.237496,51190024
decaps,C_freshKey_randomInput,1,43.667981,92227302
encaps,G0_fixedKey_fixedInput,1,25.355751,53552147
decaps,G0_fixedKey_fixedInput,1,39.625499,83689469
keygen,B_freshKey_fixedInput,1,12.306405,25991660
encaps,B_freshKey_fixedInput,1,30.936283,65338608
decaps,B_freshKey_fixedInput,1,39.669677,83782718
encaps,A_fixedKey_randomInput,0,26.567129,56111172
decaps,A_fixedKey_randomInput,0,58.697906,123970645
encaps,G0_fixedKey_fixedInput,2,42.487966,89735326
decaps,G0_fixedKey_fixedInput,2,62.833191,132704276
encaps,A_fixedKey_randomInput,1,26.714908,56422900
decaps,A_fixedKey_randomInput,1,55.362362,116926885
keygen,C_freshKey_randomInput,2,15.858455,33493760
encaps,C_freshKey_randomInput,2,26.632777,56248830
decaps,C_freshKey_randomInput,2,58.812445,124212352
encaps,G0_fixedKey_fixedInput,3,30.828860,65110990
decaps,G0_fixedKey_fixedInput,3,52.520858,110924597
keygen,C_freshKey_randomInput,3,16.616259,35096056
encaps,C_freshKey_randomInput,3,32.517188,68676787
decaps,C_freshKey_randomInput,3,51.693859,109177972
keygen,C_freshKey_randomInput,4,15.587036,32921928
