phase,group,index,time_ms,cycles
keygen,KG_fixed_randomness,0,867.736792,1832670386
keygen,KG_real_randomness,0,1835.207892,3875972826
keygen,KG_real_randomness,1,696.085638,1470144948
keygen,KG_real_randomness,2,1542.879263,3258570709
keygen,KG_fixed_randomness,1,589.835508,1245736585
keygen,KG_real_randomness,3,1088.487435,2298893714
keygen,KG_fixed_randomness,2,574.472006,1213288766
keygen,KG_fixed_randomness,3,608.206946,1284537158
keygen,KG_fixed_randomness,4,668.812185,1412535634
keygen,KG_fixed_randomness,5,786.546211,1661190710
keygen,KG_fixed_randomness,6,770.177331,1626619574
keygen,KG_real_randomness,4,653.986999,1381225164
keygen,KG_real_randomness,5,634.704305,1340503378
keygen,KG_fixed_randomness,7,666.499855,1407652156
keygen,KG_real_randomness,6,705.717433,1490480102
keygen,KG_fixed_randomness,8,627.975929,1326289338
keygen,KG_real_randomness,7,591.840840,1249972706
keygen,KG_real_randomness,8,2462.258927,5200306056
keygen,KG_real_randomness,9,2368.892693,5003116120
keygen,KG_fixed_randomness,9,593.186066,1252812922
keygen,C_freshKey_randomInput,0,5300.467124,11194622048
encaps,C_freshKey_randomInput,0,0.707582,1494998
decaps,C_freshKey_randomInput,0,185.572481,391930392
encaps,G0_fixedKey_fixedInput,0,0.457283,966550
decaps,G0_fixedKey_fixedInput,0,179.322618,378730632
keygen,B_freshKey_fixedInput,0,1515.046801,3199788456
encaps,B_freshKey_fixedInput,0,0.392829,830040
decaps,B_freshKey_fixedInput,0,160.225894,338398248
keygen,C_freshKey_randomInput,1,621.876446,1313407816
encaps,C_freshKey_randomInput,1,0.541880,1145010
decaps,C_freshKey_randomInput,1,185.672538,392141722
encaps,G0_fixedKey_fixedInput,1,0.486354,1028082
decaps,G0_fixedKey_fixedInput,1,193.685214,409064538
keygen,B_freshKey_fixedInput,1,1079.371308,2279640858
encaps,B_freshKey_fixedInput,1,0.629944,1334108
decaps,B_freshKey_fixedInput,1,198.650252,419550786
encaps,A_fixedKey_randomInput,0,0.439353,931406
decaps,A_fixedKey_randomInput,0,176.781332,373363436
encaps,G0_fixedKey_fixedInput,2,0.437841,924994
decaps,G0_fixedKey_fixedInput,2,185.741335,392287016
encaps,A_fixedKey_randomInput,1,0.493076,1043566
decaps,A_fixedKey_randomInput,1,195.473987,412842420
keygen,C_freshKey_randomInput,2,1088.300040,2298496650
encaps,C_freshKey_randomInput,2,0.471540,999196
decaps,C_freshKey_randomInput,2,205.112052,433198050
encaps,G0_fixedKey_fixedInput,3,0.521811,1105350
decaps,G0_fixedKey_fixedInput,3,164.920877,348314526
keygen,C_freshKey_randomInput,3,1650.628945,3486141748
encaps,C_freshKey_randomInput,3,0.572265,1255056
decaps,C_freshKey_randomInput,3,179.945691,380046571
keygen,C_freshKey_randomInput,4,656.245088,1385994171
encaps,C_freshKey_randomInput,4,0.486861,1031984
